
Host: TUF

Timers On : Mon Jul  7 09:47:27 2025
Timers Off: Mon Jul  7 09:47:33 2025

Wall Time:        6.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Host: TUF

Timers On : Mon Jul  7 09:50:27 2025
Timers Off: Mon Jul  7 09:50:31 2025

Wall Time:        4.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.133u      0.000s      0.079w      2 calls
build grid                          :      0.083u      0.000s      0.047w      2 calls
post-process grid                   :      0.050u      0.000s      0.032w      2 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.016w      2 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.020w      6 calls
DFH: initialize()                   :      0.033u      0.017s      0.030w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.005w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.017u      0.000s      0.002w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.083u      0.033s      0.066w      2 calls
SAD Guess                           :      0.067u      0.033s      0.063w      2 calls
HF: Form G                          :      2.417u      0.100s      1.519w     17 calls
RV: Form V                          :      2.417u      0.100s      1.510w     17 calls
Properties                          :      0.367u      0.000s      0.231w   9418 calls
Functional                          :      1.467u      0.083s      0.976w   9418 calls
V_xc                                :      0.467u      0.017s      0.269w   9418 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     17 calls
JK: JK                              :      0.000u      0.000s      0.003w     17 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     17 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.000w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.233u      0.000s      0.142w     15 calls
HF: Form C                          :      0.017u      0.000s      0.008w     15 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.133u      0.000s      0.079w      2 calls
| build grid                        :      0.083u      0.000s      0.047w      2 calls
| post-process grid                 :      0.050u      0.000s      0.032w      2 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.016w      2 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.013w      2 calls
DFH: initialize()                   :      0.033u      0.017s      0.030w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.008w      4 calls
| DFH: AO Construction              :      0.000u      0.000s      0.005w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.017u      0.000s      0.002w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.083u      0.033s      0.066w      2 calls
| SAD Guess                         :      0.067u      0.033s      0.063w      2 calls
HF: Form G                          :      2.417u      0.100s      1.519w     17 calls
| RV: Form V                        :      2.417u      0.100s      1.510w     17 calls
| | Properties                      :      0.367u      0.000s      0.231w   9418 calls
| | Functional                      :      1.467u      0.083s      0.976w   9418 calls
| | V_xc                            :      0.467u      0.017s      0.269w   9418 calls
| JK: D                             :      0.000u      0.000s      0.000w     17 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     17 calls
| JK: JK                            :      0.000u      0.000s      0.003w     17 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.003w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     17 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.002w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.000w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.233u      0.000s      0.142w     15 calls
HF: Form C                          :      0.017u      0.000s      0.008w     15 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 09:55:44 2025
Timers Off: Mon Jul  7 09:55:47 2025

Wall Time:        3.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.133u      0.017s      0.085w      2 calls
build grid                          :      0.083u      0.017s      0.048w      2 calls
post-process grid                   :      0.050u      0.000s      0.037w      2 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.018w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.022w      6 calls
DFH: initialize()                   :      0.050u      0.000s      0.040w      2 calls
DFH: AO Construction                :      0.017u      0.000s      0.007w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      2 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.117u      0.033s      0.093w      2 calls
SAD Guess                           :      0.117u      0.033s      0.089w      2 calls
HF: Form G                          :      2.083u      0.067s      1.299w     17 calls
RV: Form V                          :      2.067u      0.067s      1.288w     17 calls
Properties                          :      0.333u      0.017s      0.197w   9418 calls
Functional                          :      1.333u      0.033s      0.832w   9418 calls
V_xc                                :      0.350u      0.017s      0.230w   9418 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     17 calls
JK: JK                              :      0.000u      0.000s      0.003w     17 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     17 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.000w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.167u      0.017s      0.114w     15 calls
HF: Form C                          :      0.033u      0.000s      0.006w     15 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.133u      0.017s      0.085w      2 calls
| build grid                        :      0.083u      0.017s      0.048w      2 calls
| post-process grid                 :      0.050u      0.000s      0.037w      2 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.018w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.012w      2 calls
DFH: initialize()                   :      0.050u      0.000s      0.040w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.009w      4 calls
| DFH: AO Construction              :      0.017u      0.000s      0.007w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      2 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.117u      0.033s      0.093w      2 calls
| SAD Guess                         :      0.117u      0.033s      0.089w      2 calls
HF: Form G                          :      2.083u      0.067s      1.299w     17 calls
| RV: Form V                        :      2.067u      0.067s      1.288w     17 calls
| | Properties                      :      0.333u      0.017s      0.197w   9418 calls
| | Functional                      :      1.333u      0.033s      0.832w   9418 calls
| | V_xc                            :      0.350u      0.017s      0.230w   9418 calls
| JK: D                             :      0.000u      0.000s      0.000w     17 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     17 calls
| JK: JK                            :      0.000u      0.000s      0.003w     17 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.003w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     17 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.002w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.000w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.167u      0.017s      0.114w     15 calls
HF: Form C                          :      0.033u      0.000s      0.006w     15 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:02:52 2025
Timers Off: Mon Jul  7 10:02:56 2025

Wall Time:        3.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.133u      0.017s      0.088w      2 calls
build grid                          :      0.067u      0.017s      0.049w      2 calls
post-process grid                   :      0.067u      0.000s      0.038w      2 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.016w      2 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.020w      6 calls
DFH: initialize()                   :      0.033u      0.000s      0.026w      2 calls
DFH: AO Construction                :      0.000u      0.000s      0.005w      2 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.100u      0.000s      0.063w      2 calls
SAD Guess                           :      0.100u      0.000s      0.060w      2 calls
HF: Form G                          :      2.133u      0.100s      1.317w     17 calls
RV: Form V                          :      2.133u      0.083s      1.308w     17 calls
Properties                          :      0.317u      0.033s      0.197w   9418 calls
Functional                          :      1.350u      0.050s      0.849w   9418 calls
V_xc                                :      0.400u      0.000s      0.234w   9418 calls
JK: D                               :      0.000u      0.000s      0.000w     17 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     17 calls
JK: JK                              :      0.000u      0.000s      0.003w     17 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w     17 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     17 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     17 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     17 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.000w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.150u      0.017s      0.115w     15 calls
HF: Form C                          :      0.000u      0.000s      0.006w     15 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.133u      0.017s      0.088w      2 calls
| build grid                        :      0.067u      0.017s      0.049w      2 calls
| post-process grid                 :      0.067u      0.000s      0.038w      2 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.016w      2 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.012w      2 calls
DFH: initialize()                   :      0.033u      0.000s      0.026w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.008w      4 calls
| DFH: AO Construction              :      0.000u      0.000s      0.005w      2 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.008w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.100u      0.000s      0.063w      2 calls
| SAD Guess                         :      0.100u      0.000s      0.060w      2 calls
HF: Form G                          :      2.133u      0.100s      1.317w     17 calls
| RV: Form V                        :      2.133u      0.083s      1.308w     17 calls
| | Properties                      :      0.317u      0.033s      0.197w   9418 calls
| | Functional                      :      1.350u      0.050s      0.849w   9418 calls
| | V_xc                            :      0.400u      0.000s      0.234w   9418 calls
| JK: D                             :      0.000u      0.000s      0.000w     17 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     17 calls
| JK: JK                            :      0.000u      0.000s      0.003w     17 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.003w     17 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     17 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     17 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.002w     17 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     17 calls
HF: Form F                          :      0.000u      0.000s      0.000w     17 calls
HF: Form D                          :      0.000u      0.000s      0.000w     17 calls
HF: DIIS                            :      0.150u      0.017s      0.115w     15 calls
HF: Form C                          :      0.000u      0.000s      0.006w     15 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:03:01 2025
Timers Off: Mon Jul  7 10:03:05 2025

Wall Time:        4.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.183u      0.017s      0.112w      3 calls
build grid                          :      0.100u      0.000s      0.068w      3 calls
post-process grid                   :      0.083u      0.017s      0.043w      3 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.021w      3 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.025w      9 calls
DFH: initialize()                   :      0.050u      0.000s      0.038w      3 calls
DFH: AO Construction                :      0.017u      0.000s      0.007w      3 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.150u      0.017s      0.089w      3 calls
SAD Guess                           :      0.133u      0.017s      0.085w      3 calls
HF: Form G                          :      2.400u      0.100s      1.535w     25 calls
RV: Form V                          :      2.383u      0.100s      1.526w     25 calls
Properties                          :      0.400u      0.017s      0.272w  13850 calls
Functional                          :      1.517u      0.067s      0.887w  13850 calls
V_xc                                :      0.367u      0.017s      0.325w  13850 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     25 calls
JK: JK                              :      0.000u      0.000s      0.002w     25 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.002w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.300u      0.017s      0.139w     22 calls
HF: Form C                          :      0.017u      0.000s      0.009w     22 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.183u      0.017s      0.112w      3 calls
| build grid                        :      0.100u      0.000s      0.068w      3 calls
| post-process grid                 :      0.083u      0.017s      0.043w      3 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.021w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.015w      3 calls
DFH: initialize()                   :      0.050u      0.000s      0.038w      3 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.010w      6 calls
| DFH: AO Construction              :      0.017u      0.000s      0.007w      3 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.150u      0.017s      0.089w      3 calls
| SAD Guess                         :      0.133u      0.017s      0.085w      3 calls
HF: Form G                          :      2.400u      0.100s      1.535w     25 calls
| RV: Form V                        :      2.383u      0.100s      1.526w     25 calls
| | Properties                      :      0.400u      0.017s      0.272w  13850 calls
| | Functional                      :      1.517u      0.067s      0.887w  13850 calls
| | V_xc                            :      0.367u      0.017s      0.325w  13850 calls
| JK: D                             :      0.000u      0.000s      0.000w     25 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     25 calls
| JK: JK                            :      0.000u      0.000s      0.002w     25 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.002w     25 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     25 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     25 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.300u      0.017s      0.139w     22 calls
HF: Form C                          :      0.017u      0.000s      0.009w     22 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:04:13 2025
Timers Off: Mon Jul  7 10:04:18 2025

Wall Time:        4.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.200u      0.017s      0.122w      3 calls
build grid                          :      0.117u      0.000s      0.071w      3 calls
post-process grid                   :      0.083u      0.017s      0.050w      3 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.024w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.028w      9 calls
DFH: initialize()                   :      0.050u      0.000s      0.041w      3 calls
DFH: AO Construction                :      0.000u      0.000s      0.007w      3 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.133u      0.017s      0.093w      3 calls
SAD Guess                           :      0.133u      0.017s      0.089w      3 calls
HF: Form G                          :      2.367u      0.083s      1.502w     25 calls
RV: Form V                          :      2.367u      0.083s      1.493w     25 calls
Properties                          :      0.433u      0.000s      0.270w  13850 calls
Functional                          :      1.417u      0.067s      0.868w  13850 calls
V_xc                                :      0.450u      0.017s      0.315w  13850 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     25 calls
JK: JK                              :      0.000u      0.000s      0.002w     25 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.002w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.167u      0.017s      0.140w     22 calls
HF: Form C                          :      0.000u      0.000s      0.009w     22 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.200u      0.017s      0.122w      3 calls
| build grid                        :      0.117u      0.000s      0.071w      3 calls
| post-process grid                 :      0.083u      0.017s      0.050w      3 calls
DFH: sparsity prep                  :      0.033u      0.017s      0.024w      3 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.018w      3 calls
DFH: initialize()                   :      0.050u      0.000s      0.041w      3 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.010w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.007w      3 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.133u      0.017s      0.093w      3 calls
| SAD Guess                         :      0.133u      0.017s      0.089w      3 calls
HF: Form G                          :      2.367u      0.083s      1.502w     25 calls
| RV: Form V                        :      2.367u      0.083s      1.493w     25 calls
| | Properties                      :      0.433u      0.000s      0.270w  13850 calls
| | Functional                      :      1.417u      0.067s      0.868w  13850 calls
| | V_xc                            :      0.450u      0.017s      0.315w  13850 calls
| JK: D                             :      0.000u      0.000s      0.000w     25 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     25 calls
| JK: JK                            :      0.000u      0.000s      0.002w     25 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.002w     25 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     25 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     25 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.167u      0.017s      0.140w     22 calls
HF: Form C                          :      0.000u      0.000s      0.009w     22 calls

**************************************************************************************

Host: TUF

Timers On : Mon Jul  7 10:04:32 2025
Timers Off: Mon Jul  7 10:04:36 2025

Wall Time:        4.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.217u      0.017s      0.141w      3 calls
build grid                          :      0.133u      0.000s      0.085w      3 calls
post-process grid                   :      0.083u      0.017s      0.056w      3 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.027w      3 calls
Libint2ERI::Libint2ERI              :      0.017u      0.050s      0.047w      9 calls
DFH: initialize()                   :      0.083u      0.033s      0.067w      3 calls
DFH: AO Construction                :      0.017u      0.000s      0.008w      3 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      3 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      3 calls
HF: Guess                           :      0.133u      0.033s      0.101w      3 calls
SAD Guess                           :      0.133u      0.033s      0.096w      3 calls
HF: Form G                          :      2.617u      0.083s      1.655w     25 calls
RV: Form V                          :      2.600u      0.083s      1.645w     25 calls
Properties                          :      0.733u      0.033s      0.303w  13850 calls
Functional                          :      1.267u      0.033s      0.949w  13850 calls
V_xc                                :      0.583u      0.017s      0.348w  13850 calls
JK: D                               :      0.000u      0.000s      0.000w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     25 calls
JK: JK                              :      0.000u      0.000s      0.002w     25 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.002w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.000w     25 calls
HF: Form D                          :      0.000u      0.000s      0.000w     25 calls
HF: DIIS                            :      0.283u      0.017s      0.165w     22 calls
HF: Form C                          :      0.033u      0.000s      0.010w     22 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.217u      0.017s      0.141w      3 calls
| build grid                        :      0.133u      0.000s      0.085w      3 calls
| post-process grid                 :      0.083u      0.017s      0.056w      3 calls
DFH: sparsity prep                  :      0.017u      0.017s      0.027w      3 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.021w      3 calls
DFH: initialize()                   :      0.083u      0.033s      0.067w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.033s      0.026w      6 calls
| DFH: AO Construction              :      0.017u      0.000s      0.008w      3 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.009w      3 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      3 calls
HF: Guess                           :      0.133u      0.033s      0.101w      3 calls
| SAD Guess                         :      0.133u      0.033s      0.096w      3 calls
HF: Form G                          :      2.617u      0.083s      1.655w     25 calls
| RV: Form V                        :      2.600u      0.083s      1.645w     25 calls
| | Properties                      :      0.733u      0.033s      0.303w  13850 calls
| | Functional                      :      1.267u      0.033s      0.949w  13850 calls
| | V_xc                            :      0.583u      0.017s      0.348w  13850 calls
| JK: D                             :      0.000u      0.000s      0.000w     25 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     25 calls
| JK: JK                            :      0.000u      0.000s      0.002w     25 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.002w     25 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     25 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     25 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     25 calls
